Name,Email,Roll_NO,Password
Veer Dalvi,veer@gmail.com,1,1234
Onkar Marbe,onkar@gmail.com,2,1234
Satyam Chillal,satyam@gmail.com,3,1234
Mauli Gadekar,mauli@gmail.com,4,1234
Pravin Birajdar,pravin@gmail.com,5,1234
Prathmesh Jagtap,prathmesh@gmail.com,6,12345
Akshay Javalgi,akshay@gmail.com,7,1234
Pruthvi Rathod,pruthvi@gmail.com,8,1234
Ashish Phaltankar,ashish@gmail.com,9,1234
Bhushan Patil,bhushan@gmail.com,10,1234
Atharva Chavan,atharva@gmail.com,11,1234
Vishal Bhutada,vishal@gmail.com,12,1234
Kedar Swami,kedar@gmail.com,13,1234
Yashraj Vibhute,yashraj@gmail.com,14,1234
Laxman Dhotre,laxman@gmail.com,15,1234
